posting_item_id,posting_id,order_id,pickup_point_id,fulfilment_channel,handover_date,event_type,record_status,item_value,item_commission
I00107573,O0028265-B1,O0028265,P00359,warehouse,2026-02-18,handover,final,3.4,0.187
I00193294,O0050976-B1,O0050976,P00319,warehouse,2026-02-16,handover,final,1.6,0.088
I00183468,O0048400-B1,O0048400,P00199,warehouse,2026-02-13,handover,final,2.39,0.1314
R00102185,O0026836-B1,O0026836,P00788,retail,2026-02-17,handover_return,final,-7.18,-0.3949
I00053663,O0014131-B2,O0014131,P00707,warehouse,2026-02-15,handover,final,4.49,0.247
I00022286,O0005898-B1,O0005898,P00528,warehouse,2026-02-21,handover,final,1.77,0.0974
I00123343,O0032464-B1,O0032464,P00813,cross_border,2026-02-20,handover,final,0.99,0.0544
I00177635,O0046890-B1,O0046890,P00127,warehouse,2026-02-02,handover,final,3.72,0.2046
I00035217,O0009325-B1,O0009325,P00642,warehouse,2026-02-14,handover,final,1.78,0.0979
I00071274,O0018796-B1,O0018796,P00127,warehouse,2026-02-01,handover,final,17.24,0.9482
I00033485,O0008841-B1,O0008841,P00596,warehouse,2026-02-15,handover,final,9.88,0.5434
I00010161,O0002673-B1,O0002673,P00310,warehouse,2026-02-14,handover,final,1.94,0.1067
I00059276,O0015624-B1,O0015624,P00243,warehouse,2026-02-15,handover,final,6.68,0.3674
I00097233,O0025576-B1,O0025576,P00361,warehouse,2026-02-09,handover,final,0.99,0.0544
I00139486,O0036780-B1,O0036780,P00808,warehouse,2026-02-06,handover,final,0.99,0.0544
R00172262,O0045439-B2,O0045439,P00486,warehouse,2026-03-04,handover_return,final,-47.1,-2.5
I00028935,O0007636-B1,O0007636,P00350,warehouse,2026-02-18,handover,final,16.7,0.9185
I00081026,O0021367-B1,O0021367,P00175,warehouse,2026-02-23,handover,final,1.17,0.0643
I00026673,O0007046-B1,O0007046,P00530,warehouse,2026-02-21,handover,final,0.99,0.0544
C00194929,O0051410-B1,O0051410,P00777,cross_border,2026-02-28,handover,corrected,1.44,0.0792
I00047127,O0012423-B1,O0012423,P00168,warehouse,2026-02-17,handover,final,0.99,0.0544
I00107882,O0028354-B1,O0028354,P00487,warehouse,2026-02-03,handover,final,4.45,0.2448
I00177718,O0046915-B1,O0046915,P00258,warehouse,2026-02-02,handover,final,1.74,0.0957
I00030959,O0008170-B1,O0008170,P00765,warehouse,2026-02-24,handover,final,10.08,0.5544
I00204842,O0054022-B1,O0054022,P00217,warehouse,2026-02-14,handover,final,1.26,0.0693
I00207168,O0054623-B1,O0054623,P00309,merchant_shipped,2026-02-22,handover,final,15.64,0.8602
I00139671,O0036823-B2,O0036823,P00400,warehouse,2026-02-22,handover,final,0.99,0.0544
I00069444,O0018290-B2,O0018290,P00784,warehouse,2026-02-04,handover,final,46.88,2.5
I00139834,O0036860-B1,O0036860,P00584,cross_border,2026-02-12,handover,final,1.5,0.0825
I00023521,O0006216-B1,O0006216,P00200,merchant_shipped,2026-02-12,handover,final,13.02,0.7161
I00218467,O0057590-B2,O0057590,P00329,warehouse,2026-02-28,handover,final,4.42,0.2431
I00164052,O0043259-B3,O0043259,P00701,warehouse,2026-02-27,handover,final,0.99,0.0544
I00077440,O0020410-B1,O0020410,P00050,warehouse,2026-02-25,handover,final,1.95,0.1072
X00020610,O9005442-B1,O0005442,P00405,warehouse,2026-02-23,handover_return,final,-3.97,-0.2184
I00086742,O0022850-B1,O0022850,P00120,warehouse,2026-02-25,handover,final,0.99,0.0544
I00170379,O0044931-B2,O0044931,P00577,warehouse,2026-02-25,handover,final,3.06,0.1683
I00158086,O0041719-B1,O0041719,P00467,warehouse,2026-02-19,handover,final,0.99,0.0544
I00038101,O0010081-B2,O0010081,P00794,warehouse,2026-02-10,handover,final,0.99,0.0544
C00005930,O0001548-B2,O0001548,P00794,warehouse,2026-02-10,handover,corrected,3.49,0.192
R00092188,O0024242-B2,O0024242,P00841,warehouse,2026-02-05,handover_return,final,-0.99,-0.0544
I00088607,O0023318-B1,O0023318,P00120,warehouse,2026-02-27,handover,final,0.99,0.0544
I00159706,O0042127-B2,O0042127,P00838,warehouse,2026-02-19,handover,final,0.99,0.0544
I00133483,O0035158-B1,O0035158,P00050,warehouse,2026-02-12,handover,final,3.9,0.2145
R00157074,O0041453-B1,O0041453,P00409,warehouse,2026-02-28,handover_return,final,-1.95,-0.1072
I00023104,O0006117-B1,O0006117,P00708,warehouse,2026-02-18,handover,final,3.06,0.1683
I00178523,O0047141-B1,O0047141,P00830,warehouse,2026-02-04,handover,final,0.99,0.0544
I00136761,O0036033-B1,O0036033,P00165,warehouse,2026-02-16,handover,final,0.99,0.0544
I00198477,O0052345-B1,O0052345,P00034,warehouse,2026-02-01,handover,final,1.15,0.0632
I00020611,O0005442-B1,O0005442,P00405,warehouse,2026-02-23,handover,final,4.51,0.248
I00145358,O0038313-B1,O0038313,P00570,warehouse,2026-02-25,handover,final,0.99,0.0544
I00059302,O0015630-B1,O0015630,P00277,warehouse,2026-02-28,handover,final,0.99,0.0544
I00147701,O0038954-B1,O0038954,P00551,warehouse,2026-02-25,handover,final,2.53,0.1392
I00075282,O0019856-B1,O0019856,P00348,warehouse,2026-02-15,handover,final,7.75,0.4262
I00020406,O0005386-B2,O0005386,P00532,warehouse,2026-02-05,handover,final,1.56,0.0858
I00197528,O0052089-B1,O0052089,P00654,warehouse,2026-02-20,handover,final,3.08,0.1694
R00074961,O0019767-B1,O0019767,P00374,warehouse,2026-02-11,handover_return,final,-0.99,-0.0544
R00043811,O0011547-B1,O0011547,P00573,warehouse,2026-02-19,handover_return,final,-0.99,-0.0544
I00094441,O0024850-B1,O0024850,P00761,warehouse,2026-02-17,handover,final,1.39,0.0764
I00035835,O0009481-B1,O0009481,P00543,warehouse,2026-02-17,handover,final,1.68,0.0924
I00176374,O0046536-B1,O0046536,P00339,warehouse,2026-02-01,handover,final,6.54,0.3597
I00192590,O0050786-B1,O0050786,P00736,warehouse,2026-02-17,handover,final,1.57,0.0864
I00067460,O0017747-B1,O0017747,P00163,warehouse,2026-02-08,handover,final,5.2,0.286
I00129989,O0034244-B2,O0034244,P00412,warehouse,2026-02-12,handover,final,20.19,1.1105
I00217036,O0057213-B1,O0057213,P00496,warehouse,2026-02-24,handover,final,4.3,0.2365
I00119430,O0031448-B1,O0031448,P00227,cross_border,2026-02-18,handover,final,13.06,0.7183
I00033247,O0008770-B1,O0008770,P00130,warehouse,2026-02-21,handover,final,0.99,0.0544
I00145518,O0038356-B1,O0038356,P00692,warehouse,2026-02-14,handover,final,0.99,0.0544
I00194282,O0051235-B1,O0051235,P00461,warehouse,2026-02-15,handover,final,37.54,2.0647
