userid,score,city,gender,age,equity,balance,products,credit_card,last_activity,salary,churn
162567,889.0,Рыбинск,Ж,37,2,1399536.93,2,0,1,83006.67,1
112627,846.0,Ростов,Ж,39,4,569916.98,2,0,1,194159.86,1
113998,920.0,Рыбинск,М,37,5,1759413.69,4,1,1,141452.82,1
233851,833.0,Ярославль,Ж,44,4,1298309.52,4,0,1,142442.5,1
179636,877.0,Ярославль,Ж,29,7,394906.7,2,1,1,104978.02,1
101937,915.0,Рыбинск,М,32,5,1347870.74,2,0,1,149721.1,1
223797,877.0,Рыбинск,Ж,33,0,192185.71,2,0,1,140979.89,1
203700,864.0,Ярославль,Ж,45,5,1517133.62,4,1,1,192301.14,1
162222,888.0,Ярославль,Ж,61,2,780435.06,2,0,1,167083.95,1
138403,892.0,Ярославль,Ж,37,3,962740.28,4,1,1,95207.35,1
176077,889.0,Рыбинск,Ж,55,4,1792087.1,4,1,1,148419.59,1
116263,850.0,Ростов,М,38,5,579400.11,2,1,1,168093.86,1
207412,853.0,Ростов,М,28,5,315741.45,2,0,1,31746.61,1
228568,858.0,Ярославль,Ж,58,2,501452.31,4,1,1,51326.24,0
88322,834.0,Ярославль,Ж,46,5,568975.01,4,0,1,94987.65,0
136976,855.0,Рыбинск,Ж,32,6,1036832.93,4,1,1,107792.71,1
162643,896.0,Ростов,Ж,41,5,518520.44,2,1,1,241222.91,1
148822,873.0,Ярославль,Ж,36,5,1831357.48,2,1,1,198164.3,1
167299,870.0,Ярославль,М,31,5,772433.69,2,0,1,119582.56,1
194991,855.0,Ростов,Ж,46,3,402077.47,4,1,1,129579.74,0
205083,861.0,Ярославль,М,30,5,318149.94,4,1,1,57059.48,0
198179,827.0,Ростов,Ж,29,0,152081.74,2,0,1,82600.08,1
110028,855.0,Ярославль,Ж,59,2,1797030.78,4,1,0,144168.33,1
20642,897.0,Ярославль,Ж,55,5,1847675.01,2,0,1,132865.53,1
204507,866.0,Рыбинск,Ж,46,3,724111.22,2,0,1,202114.73,1
157455,881.0,Рыбинск,Ж,31,4,948600.86,2,0,1,95044.36,1
216848,882.0,Ростов,М,27,3,573808.13,2,0,1,43644.45,1
45400,866.0,Ярославль,Ж,40,4,1183132.5,4,1,1,156567.47,1
168023,889.0,Ярославль,Ж,40,5,519590.77,2,1,1,152949.18,1
130721,938.0,Ярославль,Ж,35,4,1303410.73,2,1,1,183485.51,1
173929,914.0,Ярославль,М,30,5,1144914.29,2,0,1,138696.02,1
182131,901.0,Рыбинск,М,41,3,983364.24,2,1,1,236222.32,1
49495,908.0,Рыбинск,Ж,38,4,2213581.63,2,0,1,160327.77,1
198875,831.0,Ростов,М,25,6,208738.82,4,1,1,12945.28,0
222978,892.0,Ярославль,Ж,34,5,732028.07,2,1,1,41273.88,1
155092,917.0,Ярославль,Ж,35,4,1140820.67,2,0,1,179686.61,1
18345,871.0,Ярославль,Ж,29,1,176650.14,2,1,1,124545.14,1
126012,906.0,Рыбинск,М,49,3,3072195.21,4,1,0,158273.75,1
158381,933.0,Ярославль,Ж,32,5,1496658.76,2,0,1,127743.3,1
38875,929.0,Ярославль,Ж,27,5,1476573.3,2,0,1,156887.05,1
232275,824.0,Ярославль,Ж,44,3,317778.3,4,0,1,154044.45,0
48020,923.0,Ярославль,Ж,35,5,1067510.14,2,0,1,173940.25,1
189627,871.0,Ярославль,Ж,60,3,456409.53,2,0,1,42356.75,1
182187,833.0,Ростов,М,32,3,234560.94,5,1,1,106033.79,0
122492,867.0,Ярославль,Ж,30,4,824948.39,4,0,1,39760.27,0
184426,856.0,Ярославль,Ж,25,4,63271.41,5,1,1,127973.06,0
217368,908.0,Ярославль,М,33,5,1581570.02,4,1,0,162373.49,1
165395,843.0,Ярославль,М,33,4,767173.49,4,1,1,105124.02,0
197294,924.0,Ярославль,М,31,5,1828786.39,2,0,1,229689.05,1
162258,915.0,Рыбинск,М,35,4,1095146.08,2,1,1,174502.29,1
132562,920.0,Ростов,Ж,26,5,709319.6,2,0,1,75781.46,1
170784,868.0,Ростов,Ж,58,5,1334745.59,4,0,1,63049.6,0
87840,871.0,Рыбинск,М,42,3,1955521.11,2,0,1,164914.94,1
225304,931.0,Рыбинск,Ж,32,4,2609553.19,2,0,1,188236.38,1
160640,930.0,Рыбинск,Ж,40,4,3002707.7,2,0,1,147492.86,1
60401,867.0,Ярославль,Ж,38,5,675832.76,2,0,1,72598.38,1
142113,869.0,Ярославль,М,27,0,136169.72,2,1,1,76902.4,1
245792,829.0,Рыбинск,Ж,59,0,96222.44,2,0,1,102771.55,1
213136,926.0,Ярославль,М,37,2,2432629.77,2,0,0,181604.05,1
201178,887.0,Ярославль,Ж,30,5,1051299.01,2,0,1,119406.89,1
110097,889.0,Рыбинск,М,34,5,797854.31,2,1,1,227643.66,1
68427,897.0,Рыбинск,Ж,37,4,1376513.66,4,0,1,66340.91,0
66090,898.0,Рыбинск,М,32,6,1319152.69,2,0,1,132577.91,1
172784,896.0,Ростов,Ж,42,4,1081582.22,2,1,1,143368.32,1
223010,866.0,Ярославль,Ж,32,5,475212.59,4,0,1,49616.45,0
14229,865.0,Рыбинск,М,33,2,231489.18,4,1,1,100072.25,1
235514,772.0,Ростов,М,35,1,1205747.2,4,1,1,82359.55,1
237003,840.0,Рыбинск,М,31,5,378164.6,4,0,1,57693.45,0
224122,826.0,Ярославль,Ж,35,0,261170.71,2,1,1,101551.99,1
221951,845.0,Рыбинск,Ж,39,4,1362448.78,2,0,1,34948.84,1
180688,939.0,Ярославль,М,34,5,9346657.08,2,1,1,1263028.49,1
84540,880.0,Ярославль,Ж,40,5,1319411.2,2,0,1,149488.82,1
101946,913.0,Рыбинск,М,56,5,1995160.41,2,0,1,366172.78,1
73995,943.0,Ярославль,М,27,2,1333929.95,4,1,1,127475.39,1
186943,828.0,Рыбинск,Ж,58,3,1180886.7,4,0,1,21422.37,0
239154,905.0,Ярославль,М,35,3,1970809.53,4,1,0,139884.41,1
147044,902.0,Ярославль,Ж,27,4,980705.85,2,0,1,109444.42,1
248432,905.0,Ярославль,Ж,34,5,866552.31,2,1,1,120098.21,1
224030,917.0,Ярославль,М,28,5,3925249.22,2,0,1,636021.04,1
218855,899.0,Ярославль,М,26,4,232041.01,2,1,1,71918.12,1
101366,891.0,Ярославль,М,28,4,678214.9,2,1,1,61647.33,1
152114,925.0,Ростов,М,57,5,1440936.87,4,1,0,120738.7,1
177692,859.0,Ярославль,Ж,38,6,516811.2,2,1,1,95144.63,1
240603,856.0,Ярославль,М,36,4,1193852.95,4,0,1,80324.21,0
227790,881.0,Ярославль,Ж,57,5,2033232.55,2,0,1,110203.46,1
256824,841.0,Ростов,Ж,33,5,1287210.5,2,0,1,41812.27,1
239972,949.0,Ярославль,Ж,41,4,10150164.68,2,0,1,746068.33,1
198858,897.0,Рыбинск,М,44,5,2140208.32,2,0,1,114835.49,1
137507,841.0,Ярославль,Ж,32,4,372462.87,4,0,1,61366.67,0
96370,933.0,Рыбинск,М,26,5,476457.88,2,0,1,76644.36,1
249262,858.0,Ярославль,Ж,31,3,482004.47,4,1,1,47605.57,0
201691,964.0,Ростов,Ж,43,5,4310038.75,4,1,1,291778.05,1
170636,868.0,Ярославль,М,38,5,2778734.37,2,0,1,231161.44,1
173042,878.0,Рыбинск,Ж,26,5,226573.76,2,0,1,49102.16,1
51373,897.0,Ростов,Ж,33,4,701925.78,2,1,1,210686.4,1
106184,853.0,Ярославль,Ж,25,3,219386.95,2,0,1,121740.43,1
23726,883.0,Рыбинск,М,35,5,746308.92,2,1,1,115409.36,1
84536,859.0,Ярославль,Ж,48,4,1913593.94,2,0,1,135302.56,1
87322,880.0,Ярославль,Ж,32,4,344688.49,2,1,1,117425.02,1
176668,917.0,Ярославль,Ж,31,5,1578120.3,2,0,1,881095.54,1
163125,823.0,Ярославль,Ж,29,0,176452.78,4,0,1,29825.6,0
153888,827.0,Ярославль,Ж,29,3,286497.89,2,0,1,81073.12,1
238565,941.0,Ростов,Ж,25,5,922748.93,2,0,1,76775.08,1
88283,863.0,Ярославль,М,36,3,381106.0,2,1,1,142516.24,1
92519,896.0,Ростов,М,37,5,2037813.59,2,0,0,206019.8,1
12371,869.0,Рыбинск,М,25,5,189967.76,2,0,1,88043.19,1
108687,853.0,Ярославль,Ж,27,3,384001.13,2,1,1,50662.3,1
186208,882.0,Ярославль,М,27,2,524732.73,4,1,1,73873.27,1
178960,926.0,Ярославль,Ж,28,9,413940.23,2,1,1,99296.28,1
82016,909.0,Ярославль,Ж,30,4,1322623.29,2,0,1,140675.66,1
140602,894.0,Рыбинск,М,26,5,306206.7,2,1,1,56906.39,1
171383,886.0,Ярославль,Ж,30,4,329855.29,2,1,1,94036.81,1
108118,832.0,Ярославль,Ж,35,5,456331.29,2,1,1,122772.27,1
235695,947.0,Ярославль,Ж,37,4,5043603.26,2,1,1,324617.52,1
189995,853.0,Ярославль,Ж,29,0,223456.62,2,0,1,85216.97,1
222623,832.0,Ярославль,Ж,39,2,856288.77,4,1,1,88656.66,0
97113,937.0,Ярославль,Ж,38,6,2183546.58,2,0,1,161524.83,1
92768,833.0,Рыбинск,Ж,30,3,308879.83,4,0,1,22640.94,0
74449,869.0,Ярославль,М,39,5,1502879.48,2,0,1,116022.33,1
103035,865.0,Рыбинск,М,42,5,1270953.75,4,0,1,121503.25,0
112549,849.0,Ярославль,Ж,49,5,1040177.22,4,0,1,79080.07,0
110671,883.0,Ростов,Ж,57,5,919590.16,2,1,1,69206.62,1
112350,846.0,Рыбинск,М,26,1,57405.67,5,0,1,17831.63,0
54768,875.0,Рыбинск,М,35,3,1100926.5,2,1,1,159620.75,1
232083,893.0,Рыбинск,Ж,47,5,1851200.5,4,1,1,145648.46,1
85022,933.0,Ярославль,Ж,34,4,1445425.64,4,1,1,205389.82,1
144513,851.0,Ярославль,Ж,33,3,1070245.47,5,1,0,81659.07,1
62657,837.0,Ярославль,Ж,32,2,792538.73,2,0,1,122216.52,1
37911,846.0,Ярославль,М,33,3,846801.18,2,1,1,170788.74,1
42217,826.0,Ярославль,Ж,42,5,559347.44,2,0,1,172070.04,1
180436,874.0,Рыбинск,М,29,5,741760.35,2,0,1,63350.94,1
114302,959.0,Ростов,Ж,55,5,5822103.21,4,1,1,278396.31,1
107904,901.0,Рыбинск,Ж,31,5,698945.84,2,0,1,110222.84,1
212725,879.0,Ярославль,Ж,38,5,1155808.37,2,1,1,252201.74,1
227526,841.0,Рыбинск,Ж,34,3,585157.89,2,0,1,39593.83,1
204777,924.0,Ярославль,Ж,30,4,2244590.08,4,1,0,130633.94,1
179734,837.0,Ярославль,Ж,30,3,412188.84,2,1,1,98031.0,1
242211,911.0,Ярославль,Ж,29,4,1903930.55,2,0,1,150922.6,1
142398,853.0,Ярославль,Ж,33,5,601695.01,2,0,1,178898.57,1
191083,942.0,Рыбинск,М,59,3,1553083.09,2,1,1,117635.34,1
246077,841.0,Ярославль,М,52,4,587295.99,4,1,1,70664.2,0
72129,901.0,Рыбинск,М,33,3,1283522.46,2,1,1,115394.79,1
252126,841.0,Ростов,М,29,1,175505.11,4,1,1,48188.69,0
180091,920.0,Рыбинск,М,29,3,1613488.85,2,0,1,114930.24,1
196925,858.0,Ярославль,Ж,29,0,147733.39,2,1,1,100262.67,1
202739,813.0,Рыбинск,М,31,0,59584.5,4,1,1,37238.46,1
145208,882.0,Рыбинск,М,29,5,1064269.83,2,0,1,118733.03,1
195239,909.0,Ярославль,Ж,35,4,1466138.05,4,1,1,161113.05,1
118436,862.0,Ярославль,М,58,4,1003985.28,2,1,1,98531.79,1
184923,922.0,Ростов,Ж,43,4,1282115.76,2,0,1,158981.57,1
108913,893.0,Ярославль,М,25,4,157574.32,4,1,1,23145.31,0
224967,889.0,Ростов,Ж,34,4,506492.08,4,1,1,41419.26,0
231751,841.0,Ростов,М,32,4,600395.94,2,1,1,85018.05,1
250912,915.0,Рыбинск,М,31,5,3355588.4,2,0,1,433829.32,1
29528,897.0,Рыбинск,Ж,59,4,1071619.81,2,0,1,129941.97,1
207379,934.0,Рыбинск,М,26,5,1396137.58,2,0,1,675795.84,1
28252,904.0,Ярославль,М,33,5,2427737.6,2,0,1,188856.75,1
189749,852.0,Ростов,Ж,38,3,300679.76,2,1,1,136232.31,1
143973,922.0,Рыбинск,М,52,3,2865860.68,2,1,1,167936.54,1
115286,927.0,Ярославль,М,28,4,1943443.92,2,1,1,179725.99,1
18198,889.0,Рыбинск,Ж,51,5,817476.2,2,0,1,155906.75,1
258422,931.0,Рыбинск,М,29,4,521516.75,2,1,1,98425.59,1
147935,927.0,Ярославль,Ж,32,3,1378206.7,4,1,0,108196.64,1
13743,843.0,Ярославль,Ж,57,3,619722.37,2,1,1,162757.32,1
152941,912.0,Ярославль,Ж,33,3,1417534.13,4,0,0,107350.15,1
263366,870.0,Ярославль,Ж,31,5,599512.35,2,0,1,100651.18,1
215769,906.0,Ростов,М,32,3,967285.79,2,0,1,105086.63,1
173990,934.0,Ярославль,М,35,5,2348335.95,2,0,0,217105.13,1
25450,937.0,Ростов,М,34,4,2084435.24,4,1,0,206242.83,1
72120,902.0,Ярославль,М,31,5,910400.07,2,0,1,60670.32,1
86335,886.0,Рыбинск,М,35,4,469638.7,4,1,1,67743.02,0
227182,849.0,Ростов,Ж,44,4,754153.67,2,0,1,164930.69,1
38324,902.0,Ярославль,Ж,47,4,699218.39,2,1,1,834711.85,1
122274,890.0,Ростов,Ж,48,2,3645741.41,2,0,1,420762.91,1
252511,931.0,Ростов,Ж,60,4,1219641.11,4,1,0,96250.09,1
255984,849.0,Рыбинск,М,34,5,325648.74,4,1,1,52429.53,1
132568,859.0,Ростов,М,35,5,646849.15,4,1,1,124642.93,0
235768,921.0,Ярославль,М,26,5,1161123.59,2,0,0,117655.8,1
257135,881.0,Ярославль,М,27,3,381670.81,4,1,1,25273.67,0
143356,876.0,Рыбинск,Ж,54,2,1137673.9,4,1,1,124997.37,1
81108,846.0,Ростов,Ж,31,3,336928.38,2,1,1,16457.41,1
93495,883.0,Ярославль,М,25,5,394423.83,2,1,1,79327.02,1
41443,916.0,Ярославль,Ж,31,7,787262.02,2,0,1,105495.79,1
39840,884.0,Ярославль,Ж,34,4,1224909.3,2,1,1,119821.78,1
252916,833.0,Ростов,М,32,5,398581.17,2,0,1,108679.4,1
77924,864.0,Ростов,М,32,4,361582.09,2,1,1,101475.33,1
257811,935.0,Ярославль,М,35,5,2467560.5,2,0,0,197370.92,1
206591,820.0,Ярославль,М,37,5,259677.16,5,1,1,124261.01,0
220900,898.0,Ростов,Ж,37,4,1178498.3,4,1,1,72024.77,0
140879,954.0,Ярославль,М,46,6,3356541.78,4,1,1,204237.55,1
67461,858.0,Ярославль,М,25,3,443678.66,2,1,1,90568.7,1
143337,963.0,Рыбинск,Ж,42,5,1735850.98,4,0,1,382225.48,1
124024,895.0,Ростов,М,28,4,732523.83,2,1,1,100721.76,1
50288,845.0,Ярославль,Ж,31,3,591928.52,2,1,1,112697.16,1
120434,870.0,Ярославль,М,27,4,248590.44,4,1,1,39184.23,0
139625,880.0,Ярославль,Ж,32,5,601299.74,2,0,1,145022.96,1
97605,851.0,Ярославль,Ж,34,3,1201805.02,2,1,1,128691.48,1
250433,888.0,Ярославль,Ж,37,4,1192463.14,4,1,1,132001.81,1
110401,887.0,Ростов,Ж,52,3,409550.98,2,0,1,82902.91,1
224974,840.0,Ростов,М,37,5,571715.48,4,1,1,70244.09,0
239185,919.0,Ярославль,М,42,5,2183175.39,4,1,1,206343.23,1
234374,908.0,Ростов,М,31,5,670732.46,2,1,1,147206.37,1
133685,820.0,Рыбинск,М,36,5,502882.96,4,0,1,112986.18,0
51113,868.0,Ярославль,М,59,3,1526816.37,2,0,1,59350.84,1
253615,914.0,Рыбинск,М,34,5,1239757.51,2,0,1,83469.87,1
224228,912.0,Ростов,М,27,5,521163.32,2,1,1,72732.73,1
111801,818.0,Ростов,М,40,1,425148.55,2,1,1,99471.4,1
188920,972.0,Ярославль,М,33,5,2785376.95,2,1,1,398103.4,1
151413,892.0,Рыбинск,Ж,34,4,1448573.27,2,0,1,183011.74,1
233105,810.0,Ярославль,М,39,1,173617.37,4,1,0,162484.35,1
178135,848.0,Ростов,М,26,5,218655.27,4,0,1,21935.66,0
174129,887.0,Ростов,М,29,5,666638.84,2,0,0,82132.73,1
105171,912.0,Рыбинск,М,50,5,1001168.58,2,1,1,143342.31,1
258842,870.0,Ростов,М,36,3,508003.15,2,1,1,52836.41,1
100533,912.0,Ярославль,Ж,58,4,1876406.25,4,1,0,211396.89,1
96602,802.0,Ярославль,М,43,1,414274.9,4,1,1,305365.09,1
208648,822.0,Ярославль,М,33,0,85785.68,2,1,1,175015.68,1
157720,850.0,Ярославль,Ж,35,4,282262.33,5,1,1,105312.07,0
223336,862.0,Ярославль,М,28,3,359565.94,2,1,1,76171.58,1
218921,926.0,Ярославль,Ж,52,4,2488753.54,2,0,1,156934.62,1
104069,915.0,Ярославль,Ж,29,5,460375.16,2,1,1,102502.66,1
195218,854.0,Ярославль,Ж,36,4,1460367.5,4,0,1,327017.11,1
225322,871.0,Ростов,М,31,4,433493.38,4,1,1,71765.57,0
216844,929.0,Ростов,М,43,4,2148882.32,2,0,0,232683.37,1
194125,906.0,Ярославль,Ж,58,3,1350360.76,2,0,1,114287.92,1
252506,861.0,Ростов,М,56,5,848630.85,2,0,1,175750.4,1
98752,888.0,Рыбинск,М,47,6,654048.56,2,0,1,190674.29,1
51746,862.0,Ярославль,Ж,43,5,1348716.67,2,0,1,197816.12,1
223488,829.0,Ростов,Ж,33,2,216579.38,2,0,1,83321.6,1
124204,922.0,Ярославль,М,43,5,1507830.55,2,0,1,178909.84,1
105657,866.0,Ярославль,Ж,47,4,1248549.87,4,1,0,300218.51,1
62946,941.0,Ростов,Ж,34,9,863874.53,4,1,0,179211.24,1
214498,928.0,Ярославль,М,56,4,3513698.97,2,0,0,133385.16,1
121336,830.0,Ярославль,М,27,2,418136.94,4,1,1,22313.0,0
155130,920.0,Ярославль,М,50,5,3123141.86,2,0,0,246361.69,1
203720,902.0,Ярославль,Ж,35,5,1246784.55,4,1,1,84777.63,0
215637,865.0,Ярославль,М,33,4,364467.57,2,0,1,72390.67,1
250037,920.0,Ярославль,Ж,50,3,1636351.29,4,1,1,150042.64,1
126236,925.0,Ярославль,М,33,5,790489.68,2,0,0,156839.16,1
57387,864.0,Рыбинск,Ж,57,1,234484.71,2,0,1,101012.53,1
182190,857.0,Ростов,М,57,2,343682.57,4,1,1,45368.67,0
177080,916.0,Рыбинск,М,32,5,909426.23,2,0,1,208057.94,1
130084,839.0,Ярославль,Ж,29,3,613434.63,2,0,1,39993.97,1
115611,850.0,Ярославль,М,42,5,602158.02,4,1,1,148828.34,0
128923,896.0,Ярославль,Ж,39,5,657597.09,2,0,1,266033.98,1
229857,873.0,Ростов,М,39,3,255849.0,2,1,1,147178.39,1
131287,837.0,Ярославль,Ж,25,1,103360.47,2,0,1,120972.29,1
154509,878.0,Ярославль,Ж,44,3,1151318.03,4,1,1,222976.85,1
142150,889.0,Рыбинск,Ж,32,3,467686.41,2,0,1,101856.96,1
84089,941.0,Рыбинск,М,35,4,1634942.74,2,0,1,102854.61,1
74052,917.0,Рыбинск,М,28,5,412496.94,2,1,1,85020.43,1
38910,843.0,Ростов,М,39,4,645415.28,2,1,1,138149.85,1
75935,856.0,Ярославль,Ж,29,2,416654.4,2,1,1,116242.49,1
88584,896.0,Ярославль,Ж,38,3,319027.76,4,1,1,235637.98,1
156224,856.0,Ростов,Ж,28,4,250375.55,2,0,1,71758.31,1
148639,853.0,Рыбинск,Ж,30,5,466510.6,2,0,1,32175.74,1
87595,945.0,Рыбинск,М,31,4,1140857.94,2,0,1,210646.22,1
214580,790.0,Рыбинск,М,30,0,65043.47,4,0,1,27310.47,0
150057,897.0,Ярославль,Ж,29,2,729630.47,2,1,1,106416.25,1
165153,844.0,Рыбинск,М,27,4,423215.28,2,0,1,52949.92,1
6498,898.0,Ярославль,М,26,4,745846.32,2,0,1,131346.93,1
113950,881.0,Ярославль,М,41,4,480105.9,2,0,0,94952.94,1
82248,859.0,Ярославль,Ж,42,3,1190743.56,2,1,1,146996.45,1
178047,1000.0,Ярославль,М,37,4,20906155.51,2,1,1,947606.6,1
146349,870.0,Ярославль,Ж,32,0,128583.51,2,0,1,103295.22,1
55834,906.0,Ярославль,Ж,29,5,659172.87,2,0,1,150507.56,1
102704,840.0,Ярославль,Ж,38,4,316163.18,2,0,1,158242.09,1
51952,896.0,Ярославль,М,39,4,2456778.83,4,1,0,219193.57,1
243812,861.0,Ярославль,Ж,43,5,920708.06,2,0,1,115396.12,1
117365,860.0,Рыбинск,Ж,47,3,298932.48,2,0,1,147708.65,1
25599,887.0,Ярославль,М,35,6,475768.04,2,0,1,194435.25,1
33584,869.0,Рыбинск,М,40,5,655740.71,4,1,0,180844.9,1
67900,823.0,Ярославль,Ж,37,1,118329.87,5,1,1,105095.05,0
185264,836.0,Ростов,Ж,52,5,294315.53,5,0,1,63310.22,0
124170,907.0,Ярославль,М,51,6,806291.79,2,0,0,121907.61,1
179323,889.0,Ярославль,М,52,3,2174928.39,2,0,0,166234.55,1
151046,919.0,Ярославль,М,29,5,383644.93,2,1,1,270127.98,1
217917,838.0,Ростов,М,26,4,157154.39,4,1,1,50837.53,1
205490,971.0,Ярославль,Ж,33,5,4111226.61,2,1,1,346065.14,1
102931,849.0,Ярославль,М,52,3,691500.99,4,1,1,82638.63,0
84265,892.0,Ярославль,М,34,5,1178790.81,2,0,0,65777.44,1
229052,968.0,Рыбинск,Ж,58,4,4070594.83,2,0,1,251504.16,1
104006,927.0,Ярославль,Ж,48,3,2858389.58,4,1,1,170343.47,1
109245,873.0,Ярославль,Ж,60,2,1818216.05,2,1,1,138718.81,1
262567,896.0,Ярославль,Ж,42,5,843377.82,4,0,1,160491.56,0
250872,856.0,Рыбинск,М,43,5,1345490.92,4,0,1,116355.48,0
202987,906.0,Ярославль,М,33,5,2243157.71,2,0,0,166588.78,1
51303,892.0,Ярославль,М,25,3,205363.92,4,1,1,30654.44,0
53694,884.0,Рыбинск,Ж,39,5,1879756.55,2,0,1,276620.03,1
102652,863.0,Ярославль,Ж,38,4,568588.76,4,0,1,125925.15,0
145152,802.0,Ярославль,М,26,3,539863.29,4,1,1,112167.83,1
239915,908.0,Ярославль,М,33,5,649294.72,4,1,1,63645.46,1
257001,821.0,Ярославль,М,27,0,58676.37,2,1,1,31392.19,1
159726,849.0,Ростов,М,50,0,247935.74,2,0,0,126022.42,1
216648,919.0,Ярославль,Ж,29,4,603946.18,2,0,1,158438.79,1
158164,826.0,Ростов,М,60,5,1333343.17,4,1,1,89817.02,1
208089,873.0,Рыбинск,М,31,2,805445.62,4,1,1,193062.46,1
252762,841.0,Ярославль,Ж,27,4,197728.03,2,1,1,18198.24,1
46628,910.0,Рыбинск,Ж,37,3,1813156.67,4,1,1,185437.48,1
71905,884.0,Рыбинск,М,44,3,261288.83,2,1,1,248264.24,1
108917,912.0,Ярославль,М,29,5,668520.08,2,1,1,975960.36,1
237377,930.0,Рыбинск,М,28,4,1338022.5,2,0,1,167743.49,1
140265,858.0,Ярославль,М,37,4,471599.16,2,1,1,148806.88,1
92204,891.0,Ярославль,Ж,33,3,446111.25,2,0,1,171380.32,1
68614,952.0,Ярославль,М,35,5,6673219.33,4,1,0,406287.12,1
80603,883.0,Рыбинск,Ж,26,2,101498.94,2,0,1,86137.22,1
233028,835.0,Ярославль,М,50,2,516539.16,2,1,1,185231.7,1
83029,877.0,Ярославль,М,38,3,1308181.56,2,0,0,262708.47,1
19664,891.0,Ярославль,Ж,51,5,1194216.87,2,0,1,145273.67,1
182171,948.0,Ростов,М,57,5,2337519.26,2,0,1,217445.9,1
149285,829.0,Ростов,М,27,6,244427.07,2,0,1,31441.7,1
186485,909.0,Ярославль,Ж,37,5,1207775.3,2,0,1,199821.52,1
75951,858.0,Рыбинск,Ж,55,1,481549.42,2,0,1,94786.15,1
171604,867.0,Ярославль,М,34,4,936318.53,2,1,1,151838.57,1
59324,885.0,Ярославль,М,32,5,1616644.82,4,1,0,130498.35,1
232667,884.0,Ярославль,М,32,5,1197602.82,4,1,0,46393.27,1
238386,908.0,Ярославль,Ж,56,4,1169266.23,2,0,1,195082.49,1
